Testing Epoch: 163, Rp: 0.8703318079801269, R2: 0.6526673558546698, MAE: 2.4302982811529144, RMSE: 3.923870997665591
Testing Epoch: 164, Rp: 0.8707666682289492, R2: 0.6549507663940949, MAE: 2.4222537111884326, RMSE: 3.910951707056111
Testing Epoch: 165, Rp: 0.871190566362376, R2: 0.6571569014252803, MAE: 2.41421773545122, RMSE: 3.8984289678323836
Testing Epoch: 166, Rp: 0.8715911671192635, R2: 0.6593273762429265, MAE: 2.406700462587258, RMSE: 3.88606926678426
Testing Epoch: 167, Rp: 0.871991952108961, R2: 0.6614701263879271, MAE: 2.399950297170524, RMSE: 3.8738287611458984
Testing Epoch: 168, Rp: 0.8723865639560424, R2: 0.6635552352804577, MAE: 2.3930297645492637, RMSE: 3.86188028686874
Testing Epoch: 169, Rp: 0.8727947399466561, R2: 0.6656801533597902, MAE: 2.385954358176151, RMSE: 3.8496655367352424
Testing Epoch: 170, Rp: 0.8731903045722491, R2: 0.6676951755120142, MAE: 2.3789784586236338, RMSE: 3.838046595596239
Testing Epoch: 171, Rp: 0.8735603030655761, R2: 0.6696671507393637, MAE: 2.372296140206846, RMSE: 3.8266417136111635
Testing Epoch: 172, Rp: 0.8739269970622788, R2: 0.671614229156895, MAE: 2.3657220234071787, RMSE: 3.815347373307743
Testing Epoch: 173, Rp: 0.8742958768481175, R2: 0.6735260257514273, MAE: 2.359164241653784, RMSE: 3.8042250652200438
Testing Epoch: 174, Rp: 0.8746860849860796, R2: 0.6754359554975966, MAE: 2.352490534086778, RMSE: 3.7930810523150416
Testing Epoch: 175, Rp: 0.8750603460837116, R2: 0.6773575964874188, MAE: 2.3460969544650863, RMSE: 3.781835566122545
Testing Epoch: 176, Rp: 0.875402166279305, R2: 0.6791368636643436, MAE: 2.340136265232289, RMSE: 3.7713933576585275
Testing Epoch: 177, Rp: 0.875741823265952, R2: 0.6809172927573572, MAE: 2.334229478466578, RMSE: 3.7609153089506866
Testing Epoch: 178, Rp: 0.876087761467895, R2: 0.6826647491818016, MAE: 2.3284324408086943, RMSE: 3.7506028442973944
Testing Epoch: 179, Rp: 0.8764272915922556, R2: 0.6843769987072805, MAE: 2.3224148072053517, RMSE: 3.740470572282644
Testing Epoch: 180, Rp: 0.876779329366498, R2: 0.6861456210821215, MAE: 2.3162636719850505, RMSE: 3.729975814947894
Testing Epoch: 181, Rp: 0.8770886593111822, R2: 0.6877366304040614, MAE: 2.3107219795154483, RMSE: 3.7205096953057897
Testing Epoch: 182, Rp: 0.8774080238346467, R2: 0.689365716333918, MAE: 2.3052011890602744, RMSE: 3.7107920075901926
Testing Epoch: 183, Rp: 0.8777346098263911, R2: 0.6909844077308959, MAE: 2.2996390559312916, RMSE: 3.7011110533499876
Testing Epoch: 184, Rp: 0.8780535123339654, R2: 0.6925280730829475, MAE: 2.293991258855579, RMSE: 3.6918551614398774
Testing Epoch: 185, Rp: 0.8783896336066652, R2: 0.6941872744462455, MAE: 2.2880900871179035, RMSE: 3.68188056423882
Testing Epoch: 186, Rp: 0.8786811589670395, R2: 0.6956961866614433, MAE: 2.282647447003316, RMSE: 3.6727859385510158
Testing Epoch: 187, Rp: 0.8789898786833524, R2: 0.6972487577491767, MAE: 2.2771971428000737, RMSE: 3.6634046016791815
Testing Epoch: 188, Rp: 0.8792948125812136, R2: 0.6987469720021386, MAE: 2.2720294798961165, RMSE: 3.6543288798627827
Testing Epoch: 189, Rp: 0.8795955606399715, R2: 0.7001620864613852, MAE: 2.26687125203567, RMSE: 3.6457358029369353
Testing Epoch: 190, Rp: 0.8798825327418109, R2: 0.7016316280218423, MAE: 2.2618306714083274, RMSE: 3.6367907351417412
Testing Epoch: 191, Rp: 0.8801632828226348, R2: 0.7030383625043581, MAE: 2.2570606988645845, RMSE: 3.6282073130288097
Testing Epoch: 192, Rp: 0.8804435207846195, R2: 0.7044376145188704, MAE: 2.252147643775075, RMSE: 3.619649354373336
Testing Epoch: 193, Rp: 0.8807284987691909, R2: 0.7058459513848455, MAE: 2.2472943663713933, RMSE: 3.6110153519933452
Testing Epoch: 194, Rp: 0.881034339782122, R2: 0.7072439672916245, MAE: 2.242225114522063, RMSE: 3.6024241573604634
Testing Epoch: 195, Rp: 0.8813146512145291, R2: 0.7086465647160423, MAE: 2.2374196301781333, RMSE: 3.593784169167149
Testing Epoch: 196, Rp: 0.8815684812371924, R2: 0.709909120663077, MAE: 2.2331770447136914, RMSE: 3.5859890322888344
Testing Epoch: 197, Rp: 0.8818200631248829, R2: 0.7111807674484458, MAE: 2.2289757982200613, RMSE: 3.5781206017771985
Testing Epoch: 198, Rp: 0.8820731052213612, R2: 0.7124184329083325, MAE: 2.2249343361088285, RMSE: 3.5704457825323472
Testing Epoch: 199, Rp: 0.8823499157964312, R2: 0.7136929340997338, MAE: 2.2206586902594356, RMSE: 3.562525263825886
Testing Epoch: 200, Rp: 0.8826194269001985, R2: 0.7149463968015314, MAE: 2.2165690912068854, RMSE: 3.5547182773328845
Testing Epoch: 201, Rp: 0.8828559707753034, R2: 0.7161022106911644, MAE: 2.212589493405478, RMSE: 3.547504255161792
